group,scores,logfoldchanges,pvals,pvals_adj,gene_name,mean,std,median,count,sum,nonzero,perc_expressing,is_TF,is_neuropeptide
C2,60.382114,4.168186,0.0,0.0,Sntg2,3.8409557342529297,2.5889732837677,5.062661647796631,5540.0,21278.89453125,3870,0.6985559566787004,False,False
C2,64.22074,4.150739,0.0,0.0,Gm30382,4.87865686416626,2.389641046524048,5.762443542480469,5540.0,27027.7578125,4545,0.8203971119133574,False,False
C2,43.515007,4.141757,0.0,0.0,Hydin,2.2110869884490967,2.5330560207366943,0.0,5540.0,12249.421875,2430,0.43862815884476536,False,False
C2,50.91342,4.0115457,0.0,0.0,Megf11,3.20622181892395,2.8559069633483887,4.681552886962891,5540.0,17762.46875,3144,0.5675090252707581,False,False
C2,36.988823,3.8718915,1.7319825856049343e-299,3.616956966271638e-297,Hmcn2,1.8343961238861084,2.4003982543945312,0.0,5540.0,10162.5546875,2068,0.37328519855595665,False,False
C2,22.809814,3.8288493,3.6640563968736597e-115,2.5364987101009367e-113,Steap3,1.0401281118392944,1.977188229560852,0.0,5540.0,5762.3095703125,1213,0.21895306859205776,False,False
C2,53.00489,3.7920282,0.0,0.0,Rreb1,3.2919864654541016,2.5932228565216064,4.6968488693237305,5540.0,18237.60546875,3466,0.6256317689530686,True,False
C2,71.43273,3.7414138,0.0,0.0,Cdh13,6.271369934082031,1.5383057594299316,6.633667945861816,5540.0,34743.390625,5291,0.9550541516245488,False,False
C2,54.707935,3.7122767,0.0,0.0,Cadps2,4.941999435424805,2.4269332885742188,5.810644149780273,5540.0,27378.67578125,4550,0.8212996389891697,False,False
C2,57.888226,3.673074,0.0,0.0,Nek10,3.8844542503356934,2.440067768096924,5.025383949279785,5540.0,21519.876953125,4022,0.7259927797833935,False,False
C2,30.981367,3.6494687,9.608821287835224e-211,1.210035484789702e-208,Rai14,1.5581576824188232,2.3248140811920166,0.0,5540.0,8632.193359375,1739,0.31389891696750905,False,False
C2,18.96912,3.64508,3.070028013486912e-80,1.5026348050387113e-78,Fezf1,0.877591609954834,1.864022135734558,0.0,5540.0,4861.857421875,1016,0.18339350180505415,True,False
C2,71.86211,3.6273031,0.0,0.0,Gm1604a,5.123904705047607,1.9746286869049072,5.75758171081543,5540.0,28386.431640625,4887,0.882129963898917,False,False
C2,16.474737,3.607004,5.573030922076195e-61,2.0448046106475764e-59,Hs3st3b1,0.7497172355651855,1.7371264696121216,0.0,5540.0,4153.43359375,879,0.15866425992779784,False,False
C2,6.9496403,3.5661464,3.6621858657582844e-12,3.893694433428197e-11,Prss30,0.305213063955307,1.1567872762680054,0.0,5540.0,1690.88037109375,364,0.06570397111913358,False,False
C2,37.64803,3.563758,3.52364655527755e-310,8.101154373876652e-308,Lama1,1.9842114448547363,2.45736026763916,0.0,5540.0,10992.53125,2215,0.39981949458483756,False,False
C2,7.4248238,3.5543926,1.129302116903484e-13,1.310806440463238e-12,Gm10863,0.3393537402153015,1.2400648593902588,0.0,5540.0,1880.019775390625,390,0.0703971119133574,False,False
C2,49.657307,3.5395825,0.0,0.0,Lmo3,3.3627994060516357,2.6649701595306396,4.744754791259766,5540.0,18629.908203125,3461,0.6247292418772563,False,False
C2,65.15271,3.513591,0.0,0.0,Camkv,4.546285152435303,2.1113646030426025,5.31809139251709,5540.0,25186.419921875,4611,0.8323104693140794,False,False
C2,40.82269,3.4957588,0.0,0.0,Sox1ot,2.3268964290618896,2.5482125282287598,0.0,5540.0,12891.0068359375,2552,0.46064981949458483,False,False
C2,29.110737,3.3172295,2.625480503532684e-186,2.9112628946251797e-184,Gm49171,1.693624496459961,2.5439035892486572,0.0,5540.0,9382.6796875,1741,0.31425992779783396,False,False
C2,18.193062,3.3005915,5.8575586395694864e-74,2.635375574642932e-72,Tll2,0.8731258511543274,1.8621617555618286,0.0,5540.0,4837.1171875,1010,0.18231046931407943,False,False
C2,48.53855,3.2967184,0.0,0.0,Cnr1,3.156475305557251,2.5591747760772705,4.60120964050293,5540.0,17486.873046875,3386,0.6111913357400722,False,False
C2,44.198177,3.2562168,0.0,0.0,Gm1604b,2.6454250812530518,2.5469038486480713,4.187488555908203,5540.0,14655.6552734375,2909,0.5250902527075813,False,False
C2,53.389175,3.2446976,0.0,0.0,Fstl4,5.155176162719727,2.153146505355835,5.860603332519531,5540.0,28559.67578125,4791,0.8648014440433213,False,False
C2,11.886057,3.2422907,1.3985496588206497e-32,3.0529315723036134e-31,Cfap73,0.5450526475906372,1.5038847923278809,0.0,5540.0,3019.591796875,649,0.11714801444043321,False,False
C2,59.09436,3.2000265,0.0,0.0,Cdh4,5.33898401260376,2.0966312885284424,6.058379173278809,5540.0,29577.970703125,4863,0.8777978339350181,False,False
C2,7.449228,3.1976476,9.388814732618033e-14,1.0943427776716647e-12,Gm41562,0.338039368391037,1.21281898021698,0.0,5540.0,1872.738037109375,403,0.07274368231046932,False,False
C2,13.380174,3.1833096,7.896262951781587e-41,2.0505735706906378e-39,Gm49164,0.6622393131256104,1.6979504823684692,0.0,5540.0,3668.8056640625,743,0.13411552346570396,False,False
C2,40.779972,3.181947,0.0,0.0,Pifo,2.449080228805542,2.5109620094299316,0.0,5540.0,13567.904296875,2735,0.4936823104693141,False,False
C2,42.444847,3.1438398,0.0,0.0,B130024G19Rik,2.8817503452301025,2.631422281265259,4.422828674316406,5540.0,15964.896484375,3062,0.5527075812274368,False,False
C2,25.538168,3.135817,7.431796412400231e-144,6.270734615984841e-142,Dnah12,1.3493623733520508,2.223271608352661,0.0,5540.0,7475.4677734375,1510,0.27256317689530685,False,False
C2,9.539495,3.1065438,1.4352944695568136e-21,2.3101142843348585e-20,Sptlc3,0.4534234404563904,1.4079086780548096,0.0,5540.0,2511.9658203125,527,0.09512635379061372,False,False
C2,53.63597,3.1043677,0.0,0.0,Galnt18,4.734182834625244,2.2125749588012695,5.561908721923828,5540.0,26227.373046875,4604,0.8310469314079423,False,False
C2,3.9427397,3.0992084,8.055607780284097e-05,0.0004651463847325333,Umodl1,0.17444579303264618,0.8755459785461426,0.0,5540.0,966.4296875,213,0.038447653429602886,False,False
C2,56.447998,3.0663726,0.0,0.0,Tmcc3,5.382501125335693,2.173466920852661,6.080848693847656,5540.0,29819.056640625,4849,0.8752707581227437,False,False
C2,71.954895,3.0655556,0.0,0.0,Cacna2d1,7.027173042297363,0.8093721866607666,7.163702011108398,5540.0,38930.5390625,5508,0.9942238267148015,False,False
C2,57.094353,3.0495157,0.0,0.0,Ldb2,5.307824611663818,2.1165201663970947,5.999438285827637,5540.0,29405.34765625,4851,0.8756317689530686,False,False
C2,36.419956,3.0239468,2.057416192542838e-290,4.059751951584529e-288,Rasal1,2.110801935195923,2.4395458698272705,0.0,5540.0,11693.8427734375,2397,0.4326714801444043,False,False
C2,43.76418,2.9862354,0.0,0.0,Arpp21,5.479507923126221,1.8336988687515259,5.996225357055664,5540.0,30356.474609375,5047,0.9110108303249097,False,False
C2,45.567284,2.9825895,0.0,0.0,Calb1,3.736638307571411,2.5044548511505127,4.93425178527832,5540.0,20700.9765625,3879,0.7001805054151624,False,False
C2,28.808859,2.9306927,1.6613583695130513e-182,1.7868515339054534e-180,Adamts9,1.6596193313598633,2.3873119354248047,0.0,5540.0,9194.291015625,1832,0.3306859205776173,False,False
C2,55.81101,2.9218805,0.0,0.0,Dgkg,4.688481330871582,2.100507974624634,5.440204620361328,5540.0,25974.1875,4667,0.8424187725631769,False,False
C2,51.730267,2.8893998,0.0,0.0,Dpyd,5.182443141937256,2.2261245250701904,5.978062629699707,5540.0,28710.734375,4747,0.8568592057761732,False,False
C2,16.033913,2.8850415,7.40693981900976e-58,2.6033367722915094e-56,Gm20751,0.7964531779289246,1.7786686420440674,0.0,5540.0,4412.3505859375,934,0.16859205776173286,False,False
C2,8.806148,2.8786895,1.2952062920088204e-18,1.8664674915319748e-17,Sox14,0.41631466150283813,1.3341237306594849,0.0,5540.0,2306.38330078125,496,0.08953068592057761,True,False
C2,28.028275,2.8550127,7.351111766163246e-173,7.398347825704858e-171,Cfap61,1.5596034526824951,2.283507823944092,0.0,5540.0,8640.203125,1782,0.3216606498194946,False,False
C2,36.996918,2.847577,1.2834962169477973e-299,2.702892033337126e-297,Fndc1,2.403451919555664,2.5475032329559326,0.0,5540.0,13315.123046875,2642,0.4768953068592058,False,False
C2,26.83111,2.8368204,1.4014273288516365e-158,1.3153471483528844e-156,Gm26713,1.5853718519210815,2.3833112716674805,0.0,5540.0,8782.9599609375,1725,0.31137184115523464,False,False
C2,41.53649,2.8353114,0.0,0.0,Nectin3,2.945122003555298,2.589711904525757,4.478219032287598,5540.0,16315.9755859375,3164,0.5711191335740072,False,False
C2,5.54115,2.8308449,3.0049186071717776e-08,2.4616953349370627e-07,Spint1,0.25929683446884155,1.0681699514389038,0.0,5540.0,1436.5045166015625,311,0.056137184115523465,False,False
C2,49.189507,2.8265908,0.0,0.0,Itpr1,4.259629726409912,2.440366744995117,5.321784973144531,5540.0,23598.349609375,4228,0.7631768953068592,False,False
C2,2.584085,2.8231192,0.00976377524198828,0.03959383021929513,Gbgt1,0.1167164295911789,0.7175473570823669,0.0,5540.0,646.6090087890625,144,0.025992779783393503,False,False
C2,6.3429585,2.8229253,2.2539431852053588e-10,2.1599929721317895e-09,Gm36903,0.30459892749786377,1.1670440435409546,0.0,5540.0,1687.47802734375,358,0.06462093862815885,False,False
C2,47.436375,2.815845,0.0,0.0,Slit2,5.402209281921387,2.118520736694336,6.110893726348877,5540.0,29928.23828125,4869,0.8788808664259928,False,False
C2,49.785633,2.8082807,0.0,0.0,Hcn1,5.324169158935547,2.1066994667053223,5.994101524353027,5540.0,29495.8984375,4862,0.8776173285198556,False,False
C2,44.866894,2.8055503,0.0,0.0,Rerg,3.5740065574645996,2.5246379375457764,4.854239463806152,5540.0,19799.99609375,3744,0.675812274368231,False,False
